essay_id,dataset,human_score_raw,human_score_norm,magic_score,magic_error,autoscore_holistic,autoscore_trait1,autoscore_trait2,autoscore_trait3,autoscore_trait4,autoscore_trait5,autoscore_error,magic_duration_sec,autoscore_duration_sec,timestamp
AAAVUP14319000159313,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.9,0.0,2026-05-30T14:58:00
AAAVUP14319000159293,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',49.2,0.0,2026-05-30T14:58:50
AAAVUP14319000159209,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',45.7,0.0,2026-05-30T14:59:41
AAAVUP14319000159171,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',50.7,0.0,2026-05-30T15:00:29
AAAVUP14319000159072,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',50.3,0.0,2026-05-30T15:01:21
AAAVUP14319000158948,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',54.2,0.0,2026-05-30T15:02:14
AAAVUP14319000158928,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.7,0.0,2026-05-30T15:03:10
AAAVUP14319000158891,ASAP,2,2,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',52.8,0.0,2026-05-30T15:04:04
AAAVUP14319000158861,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.5,0.0,2026-05-30T15:04:58
AAAVUP14319000158743,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',54.1,0.0,2026-05-30T15:05:52
AAAVUP14319000158725,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.7,0.0,2026-05-30T15:06:48
AAAVUP14319000158687,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',50.2,0.0,2026-05-30T15:07:38
AAAVUP14319000158497,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',59.0,0.0,2026-05-30T15:08:30
AAAVUP14319000158489,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',59.5,0.0,2026-05-30T15:09:31
AAAVUP14319000158452,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',52.0,0.0,2026-05-30T15:10:32
AAAVUP14319000158359,ASAP,4,4,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',49.3,0.0,2026-05-30T15:11:26
AAAVUP14319000158227,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',52.5,0.0,2026-05-30T15:12:18
AAAVUP14319000158173,ASAP,3,3,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',54.4,0.0,2026-05-30T15:13:12
AAAVUP14319000158151,ASAP,1,0,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',53.7,0.0,2026-05-30T15:14:09
AAAVUP14319000158078,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',60.0,0.0,2026-05-30T15:15:04
AAAVUP14319000158058,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',55.3,0.0,2026-05-30T15:16:06
AAAVUP14319000158050,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.4,0.0,2026-05-30T15:17:04
AAAVUP14319000158039,ASAP,3,3,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',45.4,0.0,2026-05-30T15:17:53
AAAVUP14319000158007,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',55.2,0.0,2026-05-30T15:18:40
AAAVUP14319000157985,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',45.8,0.0,2026-05-30T15:19:38
AAAVUP14319000157959,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',56.1,0.0,2026-05-30T15:20:25
AAAVUP14319000157933,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.7,0.0,2026-05-30T15:21:23
AAAVUP14319000157912,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',60.1,0.0,2026-05-30T15:22:17
AAAVUP14319000157900,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',57.3,0.0,2026-05-30T15:23:19
AAAVUP14319000157873,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',72.1,0.0,2026-05-30T15:24:19
AAAVUP14319000157872,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',49.3,0.0,2026-05-30T15:25:33
AAAVUP14319000157871,ASAP,1,0,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',57.6,0.0,2026-05-30T15:26:24
AAAVUP14319000157864,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.9,0.0,2026-05-30T15:27:24
AAAVUP14319000157857,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',54.7,0.0,2026-05-30T15:28:18
AAAVUP14319000157856,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',46.3,0.0,2026-05-30T15:29:14
AAAVUP14319000157853,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',53.4,0.0,2026-05-30T15:30:03
AAAVUP14319000157815,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',56.0,0.0,2026-05-30T15:30:58
AAAVUP14319000157549,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',53.5,0.0,2026-05-30T15:31:56
AAAVUP14319000157511,ASAP,3,3,6,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',54.5,0.0,2026-05-30T15:32:51
AAAVUP14319000157510,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.8,0.0,2026-05-30T15:33:48
AAAVUP14319000157454,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',49.7,0.0,2026-05-30T15:34:42
AAAVUP14319000157450,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.7,0.0,2026-05-30T15:35:33
AAAVUP14319000157449,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.4,0.0,2026-05-30T15:36:23
AAAVUP14319000157448,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',44.4,0.0,2026-05-30T15:37:13
AAAVUP14319000157447,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',58.8,0.0,2026-05-30T15:37:59
AAAVUP14319000157383,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',53.3,0.0,2026-05-30T15:39:00
AAAVUP14319000157379,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',48.6,0.0,2026-05-30T15:39:55
AAAVUP14319000157378,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',56.8,0.0,2026-05-30T15:40:46
AAAVUP14319000157334,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.4,0.0,2026-05-30T15:41:44
AAAVUP14319000157331,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',55.9,0.0,2026-05-30T15:42:34
AAAVUP14319000157318,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',39.9,0.0,2026-05-30T15:43:32
AAAVUP14319000157213,ASAP,1,0,2,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',48.8,0.0,2026-05-30T15:44:14
AAAVUP14319000157200,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',56.9,0.0,2026-05-30T15:45:05
AAAVUP14319000157181,ASAP,2,2,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',44.9,0.0,2026-05-30T15:46:03
AAAVUP14319000157142,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',46.3,0.0,2026-05-30T15:46:50
AAAVUP14319000157106,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.6,0.0,2026-05-30T15:47:39
AAAVUP14319000157105,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',51.3,0.0,2026-05-30T15:48:28
AAAVUP14319000157102,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',45.6,0.0,2026-05-30T15:49:22
AAAVUP14319000157098,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',55.2,0.0,2026-05-30T15:50:09
AAAVUP14319000156823,ASAP,2,2,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',43.7,0.0,2026-05-30T15:51:06
AAAVUP14319000156753,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',47.0,0.0,2026-05-30T15:51:52
AAAVUP14319000156734,ASAP,5,6,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',61.8,0.0,2026-05-30T15:52:41
AAAVUP14319000156505,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',52.3,0.0,2026-05-30T15:53:45
AAAVUP14319000156451,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',53.9,0.0,2026-05-30T15:54:39
AAAVUP14319000156442,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',92.7,0.0,2026-05-30T15:55:35
AAAVUP14319000156419,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',132.2,0.0,2026-05-30T15:57:10
AAAVUP14319000156395,ASAP,3,3,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',120.9,0.0,2026-05-30T15:59:24
AAAVUP14319000156386,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',77.8,0.0,2026-05-30T16:01:27
AAAVUP14319000156385,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',49.0,0.0,2026-05-30T16:02:47
AAAVUP14319000156366,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',50.0,0.0,2026-05-30T16:03:38
AAAVUP14319000156332,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',64.5,0.0,2026-05-30T16:04:30
AAAVUP14319000156309,ASAP,5,6,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',69.3,0.0,2026-05-30T16:05:36
AAAVUP14319000156297,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',81.7,0.0,2026-05-30T16:06:48
AAAVUP14319000156287,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',74.1,0.0,2026-05-30T16:08:11
AAAVUP14319000156277,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',83.8,0.0,2026-05-30T16:09:27
AAAVUP14319000156227,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',78.6,0.0,2026-05-30T16:10:53
AAAVUP14319000156197,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',89.0,0.0,2026-05-30T16:12:14
AAAVUP14319000156196,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',71.6,0.0,2026-05-30T16:13:45
AAAVUP14319000156127,ASAP,3,3,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',72.8,0.0,2026-05-30T16:14:58
AAAVUP14319000156124,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',73.1,0.0,2026-05-30T16:16:13
AAAVUP14319000156106,ASAP,1,0,3,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',76.9,0.0,2026-05-30T16:17:28
AAAVUP14319000156096,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',84.7,0.0,2026-05-30T16:18:47
AAAVUP14319000156094,ASAP,5,6,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',90.4,0.0,2026-05-30T16:20:14
AAAVUP14319000156080,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',75.4,0.0,2026-05-30T16:21:46
AAAVUP14319000156063,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',88.1,0.0,2026-05-30T16:23:04
AAAVUP14319000156008,ASAP,1,0,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',75.5,0.0,2026-05-30T16:24:34
AAAVUP14319000155993,ASAP,4,4,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',143.8,0.0,2026-05-30T16:25:51
AAAVUP14319000155960,ASAP,3,3,5,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',101.0,0.0,2026-05-30T16:28:17
AAAVUP14319000155959,ASAP,2,2,4,,-1,-1,-1,-1,-1,-1,module 'llm_client' has no attribute 'call_llm_raw',72.7,0.0,2026-05-30T16:30:00
